"scenario","year","b0","b1","b2","mu","fp","N","tenperc","h","ofs","badfit"
"WC_Bailey base",2007,-166.405882730568,2.41089699271757,-0.00851154131185939,141.625171304661,19.6447713186794,1438.70419900691,131.802785645321,74.8860080896987,45.0365330674978,FALSE
"WC_Bailey base",2008,-237.979619083989,3.36209542712624,-0.0117067583622177,143.596345081191,16.7506921163246,497.128188191963,135.220999023028,30.3467215655846,34.147584820037,FALSE
"WC_Bailey base",2009,-214.705908194308,2.95481950470992,-0.0099454279322171,148.55165231946,18.1735322491417,2086.9058275249,139.464886194889,117.419344829875,43.7808271798072,FALSE
"WC_Bailey base",2010,-127.65627185964,1.76674212438569,-0.00588209851445603,150.179576221283,23.6311543249828,3457.51601267172,138.363999058791,149.608204451306,58.3575259705227,FALSE
"WC_Bailey base",2011,-155.945646584037,1.96136922079736,-0.00604461176433371,162.241124597152,23.3113206023383,538.284072015201,150.585464295983,23.6113489030196,45.7412476891855,FALSE
"WC_Bailey base",2013,-122.15205939775,1.85882617331143,-0.00674759483789299,137.739907179421,22.0636106316939,7607.29102221656,126.708101863574,352.557203862525,58.9654187618586,FALSE
"WC_Bailey base",2014,-151.752910344032,2.283873206474,-0.00830376782889966,137.520295216192,19.8890245746074,3844.64423180397,127.575782928888,197.660013509732,50.4636320608279,FALSE
"WC_Bailey base",2015,-123.46333540499,1.87074826079829,-0.00681139346366228,137.324929970529,21.9600386023612,3145.71274365196,126.344910669349,146.474528774018,54.1159431123097,FALSE
"WC_Bailey base",2016,-203.468794879749,3.03613924809267,-0.0110801935800271,137.007500192305,17.2177901109492,1543.47621645458,128.39860513683,91.6639735132286,40.386447727384,FALSE
"WC_Bailey base",2017,-139.307942274178,1.89206178794255,-0.00617890739541374,153.106501429923,23.0565986674952,5717.06018916569,141.578202096175,253.54419482247,59.8623933641649,FALSE
"WC_Bailey base",2018,-208.264458698147,3.14411887654981,-0.0115764800179342,135.797706715641,16.8446821343591,3039.23979325406,127.375365648461,184.49232067621,42.4597516339642,FALSE
"WC_Bailey base",2019,-189.777385015895,2.78372665757111,-0.00989515676646654,140.661069009276,18.2196379979849,7214.28666032643,131.551250010284,404.883238641776,49.2634116161288,FALSE
"FR_Shore base",1993,-430.488656832845,5.9771772734805,-0.0206338598916253,144.839048652901,12.6171377534456,132.748187249204,138.530479776178,10.7583062161021,21.4601896997754,FALSE
"FR_Shore base",1997,-401.588623413471,5.7811445786193,-0.0207477396102278,139.319865373899,12.582463779997,37.9224284196901,133.0286334839,3.08181523894248,14.7306182747336,FALSE
"FR_Shore base",2001,-388.43861268301,5.51235844608252,-0.0194660509764232,141.589027295751,12.9900898541812,77.325915350507,135.093982368661,6.08680041449487,19.2648076078088,FALSE
"FR_Shore base",2003,-157.383936507383,2.3294319077004,-0.0083686364269088,139.176311938362,19.8117907833946,2166.6370719884,129.270416546665,111.824916795642,47.4823892424078,FALSE
"FR_Shore base",2004,-143.662344964719,2.28555820148389,-0.0087944444492704,129.943296285958,19.3262181891415,2376.34955801605,120.280187191387,125.730196363684,46.8905499910869,FALSE
"FR_Shore base",2005,-95.1107766778688,1.42920282661861,-0.00515046978657072,138.744899576452,25.253853769409,1398.59475590776,126.117972691748,56.6291940926447,55.989988480467,FALSE
"FR_Shore base",2006,-209.36274222063,2.98626677865891,-0.010428664727422,143.175893401126,17.747481436485,1439.32312045883,134.302152682884,82.9273367626279,41.1648717592664,FALSE
"FR_Shore base",2007,-149.005948874923,2.36702800236672,-0.00909988259031718,130.058161678117,18.9991070097006,2544.8278037204,120.558608173267,136.96240050581,46.5030776009574,FALSE
"FR_Shore base",2008,-298.646456679162,4.18896659169035,-0.0144425098833832,145.022112690744,15.0809863416355,2418.95400335494,137.481619519926,164.01139051591,37.5829630403282,FALSE
"FR_Shore base",2009,-220.540721631646,3.17936545274012,-0.0112186792931779,141.699631910929,17.1111901231841,1870.92462779568,133.144036849337,111.802682050684,41.0090673974905,FALSE
"FR_Shore base",2010,-117.138162851172,1.7680234249099,-0.00641929762098334,137.711594733558,22.6207670590171,2201.92677554142,126.401211204049,99.534053728889,53.5412800019792,FALSE
"FR_Shore base",2011,-159.647235714201,2.16738958737881,-0.00715779512807334,151.400644234575,21.4220708554694,1749.34339066243,140.68960880684,83.5006322788408,49.7267237409186,FALSE
"FR_Shore base",2012,-410.834830981484,5.83362284926158,-0.0204216897671771,142.829092885293,12.6825109551164,3978.43067776917,136.487837407735,320.761839901619,33.6200508789383,FALSE
"FR_Shore base",2013,-359.504036301284,5.60631667495315,-0.0216611345019158,129.409580889156,12.3143213841968,311.061950766341,123.252420197058,25.8292951191495,24.5037130233468,FALSE
"FR_Shore base",2014,-224.692058018206,3.62765753329059,-0.0142819264472639,127.001687996564,15.1655333097849,4289.82937475702,119.418921341672,289.240083638446,39.8403418798881,FALSE
"FR_Shore base",2015,-196.190683147865,3.13433321471755,-0.0122021138163299,128.43402634562,16.4071650715894,2597.41544986437,120.230443809826,161.876579450349,40.8353470275929,FALSE
"FR_Shore base",2016,-150.482568661852,2.54043516487984,-0.0102981745604662,123.343955278849,17.859568374872,8530.05661174885,114.414171091413,488.379135405775,49.0380848429684,FALSE
"FR_Shore base",2017,-155.525375757247,2.25938651352132,-0.00798048374280326,141.556989922999,20.2878709980324,1600.93685942171,131.413054423983,80.6889150690764,46.9112908192755,FALSE
"FR_Shore base",2018,-151.741920844755,2.24258119627756,-0.00808397894334665,138.70528436515,20.1575848477476,869.841412948583,128.626491941276,44.1242900697408,43.2878144387613,FALSE
"FR_Shore base",2019,-244.764544528794,3.66989792866679,-0.0134812980587763,136.110703608311,15.6093647121321,2246.75217898606,128.306021252245,147.179082257215,38.4845318130724,FALSE
"FR_Spires base",1995,-689.726045025063,9.85922331088442,-0.0350564441183811,140.61927213141,9.67981711867475,304.941730359668,135.779363572073,32.2126055850089,19.9048222049354,FALSE
"FR_Spires base",1996,-466.672752551992,7.00507453579376,-0.0261243098898208,134.071953772897,11.2131768036534,203.175787504853,128.46536537107,18.5276112113414,21.1419055374828,FALSE
"FR_Spires base",1997,-584.572928235867,8.33890170645185,-0.0296273017298318,140.730022978356,10.5294341549637,92.3772357710913,135.465305900874,8.97090125824752,17.210793183454,FALSE
"FR_Spires base",1999,-593.231254495242,8.0473303901213,-0.0271816963711081,148.02847990523,10.9929133533854,116.834528795847,142.532023228538,10.867622730495,18.7373271709369,FALSE
"FR_Spires base",2000,-1074.61239321766,15.2978500750462,-0.0542318024151526,141.04132071749,7.78258842899584,508.62193370011,137.150026502992,66.8262617784723,17.6049975415472,FALSE
"FR_Spires base",2001,-642.724138395044,9.13057305401316,-0.0322283347461687,141.654434303321,10.0956003585129,522.571381450672,136.606634124064,52.928503942804,22.1946571176468,FALSE
"FR_Spires base",2003,-182.55642920188,2.67210723322114,-0.00954013485143466,140.045569314951,18.5555497804156,1720.63544043857,130.767794424743,94.818085999076,43.6869741483142,FALSE
"FR_Spires base",2004,-127.293355415232,2.03393425169637,-0.00793449504949888,128.170364907142,20.3465807602288,420.870391520231,117.997074527027,21.1511061274801,39.2229914231268,FALSE
"FR_Spires base",2005,-224.649849850859,3.03314525699412,-0.0101976232281995,148.718244885071,17.9474024842305,42.8341184140248,139.744543642956,2.44041888795683,18.7070044445252,FALSE
"FR_Spires base",2006,-230.805462511953,3.41751504181621,-0.0124649951937982,137.084490955782,16.2332331267453,494.463247283486,128.967874392409,31.1462050200204,33.2185447579601,FALSE
"FR_Spires base",2007,-194.065855430055,2.95738808290371,-0.0110289402331572,134.073991715572,17.2577507272721,1112.6929550246,125.445116351936,65.9276041672456,38.9758262964357,FALSE
"FR_Spires base",2008,-231.882075501973,3.27700736955961,-0.0113314879043632,144.597399618535,17.0258033744702,2575.36479140403,136.0844979313,154.670428053483,42.1849608015154,FALSE
"FR_Spires base",2009,-357.693258485145,5.07918497559278,-0.0177918312456629,142.739240988218,13.5875375718492,1624.76506368616,135.945472202294,122.271703005109,32.871736882988,FALSE
"FR_Spires base",2010,-94.752025398511,1.38114493882501,-0.00482697098314059,143.065386517654,26.0863753702008,1456.98551751067,130.022198832553,57.1107209476608,57.8963889740355,FALSE
"FR_Spires base",2011,-243.90885307897,3.20795673583469,-0.010367254560278,154.715827473068,17.7999672028336,1222.80640163346,145.815843871652,70.2448757339464,40.5036439744857,FALSE
"FR_Spires base",2012,-360.338086806252,5.18952231800465,-0.018378883867517,141.181650512974,13.3687719984345,5245.9818267978,134.497264513757,401.246643241222,36.1201608276094,FALSE
"FR_Spires base",2013,-550.014914696124,8.60499961720716,-0.0333249104392585,129.10761805184,9.92811017187519,2306.94000987953,124.143562965903,237.599684870139,25.6249174575445,FALSE
"FR_Spires base",2014,-180.63620357841,2.85633685351566,-0.0109652974981779,130.244384796231,17.3077603773986,3654.04252909361,121.590504607532,215.878241084843,44.2789677775152,FALSE
"FR_Spires base",2015,-150.5925869303,2.38605807873812,-0.00911738829539815,130.852059900884,18.9808587704997,4623.33358535834,121.361630515634,249.066615475452,49.2010775854776,FALSE
"FR_Spires base",2016,-129.574302255131,2.13534335057748,-0.00841029797441179,126.948138881299,19.7626596720472,7526.18828899064,117.066809045276,389.408865226284,53.2618262236316,FALSE
"FR_Spires base",2017,-921.585105310381,13.03372803765,-0.0458323679083178,142.189119092891,8.46574018171032,1281.51221136315,137.956249002036,154.786813667809,20.977192771455,FALSE
"FR_Spires base",2018,-197.612767351519,2.92989312957568,-0.0105931651464588,138.291676239708,17.6091426583197,2498.10264118508,129.487104910548,145.060180550095,43.3518297074233,FALSE
"FR_Spires base",2019,-222.45011104899,3.4232628190174,-0.0128165783252345,133.548234643772,16.0090306226001,7230.8717137179,125.543719332472,461.850872292145,43.7582352152078,FALSE
"FR_Eaton base",1993,-472.909035008602,6.39465141789129,-0.0215446911790188,148.404341579022,12.3475543560181,59.0957792617715,142.230564401013,4.89386138496602,17.1704863888328,FALSE
"FR_Eaton base",1994,-386.638642093385,5.38877045535266,-0.0187382685241218,143.79051213872,13.2399502807129,28.4841655082021,137.170536998364,2.19985113726804,12.9728601270844,FALSE
"FR_Eaton base",1995,-384.662218971118,5.3379705553545,-0.0184897879693864,144.349155441711,13.3286178974181,23.8357139333641,137.684846493002,1.82860201366624,11.4267121234134,FALSE
"FR_Eaton base",1996,-108.135713551212,1.53613421586122,-0.00538163145377933,142.720123911723,24.7055261161769,106.449006830321,130.367360853635,4.40578859102065,33.1995175629573,FALSE
"FR_Eaton base",1997,-415.489579554094,5.78784728923273,-0.0200958519024146,144.006019683528,12.7849158122176,43.7648790342056,137.613561777419,3.5002898353142,15.7915802371094,FALSE
"FR_Eaton base",1999,-469.28661508419,6.47411016865878,-0.0222786409333681,145.298588635227,12.1424615335166,34.0336036397844,139.227357868469,2.86600766355542,13.7493870257629,FALSE
"FR_Eaton base",2000,-471.84306636161,6.66861405526373,-0.0234246740957308,142.341661361237,11.8417068243883,184.395529012871,136.420807949043,15.922535613811,21.7397979982373,FALSE
"FR_Eaton base",2001,-487.233751000922,6.7299615363979,-0.0231119996514487,145.59453179933,11.921538953839,171.591228045096,139.633762322411,14.7176647903325,21.5730002661321,FALSE
"FR_Eaton base",2003,-168.372640929096,2.43094134678805,-0.00858157647591882,141.637224442947,19.5644455555437,841.078845039786,131.855001665175,43.9587477160445,41.993209802599,FALSE
"FR_Eaton base",2004,-90.342469575908,1.47676474505613,-0.00572252096732367,129.030959736858,23.9583765861936,3247.869325437,117.051771443761,138.617259187638,58.7131465327868,FALSE
"FR_Eaton base",2005,-154.256953335187,2.20906998226417,-0.00771213237309239,143.220439911769,20.6378212066901,1032.64547856483,132.901529308424,51.1638891253851,45.176959865134,FALSE
"FR_Eaton base",2006,-250.803610497315,3.62749443485065,-0.0129132135034848,140.45668933886,15.9490168741862,809.515562180804,132.482180901767,51.900008804466,34.9763056076572,FALSE
"FR_Eaton base",2007,-171.071116095511,2.58224100315498,-0.00950551797106274,135.828526705015,18.5893065679249,1339.6796273505,126.533873421052,73.6909084279404,42.5373314398212,FALSE
"FR_Eaton base",2008,-321.544395940743,4.51648862454675,-0.0155899386307821,144.852674904987,14.5153957340378,3719.19672621683,137.594977037968,261.997059660667,37.7981377529717,FALSE
"FR_Eaton base",2009,-367.161431795044,5.20104095770702,-0.0181696782895049,143.124189510588,13.4455157084242,2022.96500941378,136.401431656376,153.846299149275,33.2963981440365,FALSE
